"time","timeDate","close","high","low","open","volumefrom","volumeto"
1443225600000,"2015-09-25",0.7703,0.7703,0.6805,0.6823,79.54,58.79
1443312000000,"2015-09-26",0.7008,0.7703,0.7007,0.7703,14.55,10.93
1443398400000,"2015-09-27",0.6,0.7047,0.6,0.7008,5565.17,3491.1
1443484800000,"2015-09-28",0.6816,0.6816,0.5,0.6,20404.67,11590.73
1443571200000,"2015-09-29",0.7137,0.74,0.5046,0.6816,736.83,529.45
1443657600000,"2015-09-30",0.6548,0.7137,0.6545,0.7137,654.4,457.44
1443744000000,"2015-10-01",0.6647,0.666,0.6548,0.6548,400.99,266.64
1443830400000,"2015-10-02",0.6796,0.6796,0.6647,0.6647,51.02,34.43
1443916800000,"2015-10-03",0.6095,0.6747,0.6095,0.6796,791.61,533.8
1444003200000,"2015-10-04",0.6078,0.6095,0.6078,0.6095,55.74,35.41
1444089600000,"2015-10-05",0.6511,0.6511,0.6091,0.6078,24.17,15.52
1444176000000,"2015-10-06",0.6,0.611,0.6,0.6511,2025.65,1236.98
1444262400000,"2015-10-07",0.62,0.64,0.6,0.6,5755.79,3673.39
1444348800000,"2015-10-08",0.6352,0.6352,0.5701,0.62,2199.18,1298.61
1444435200000,"2015-10-09",0.6351,0.75,0.6351,0.75,0,0
1444521600000,"2015-10-10",0.5993,0.5993,0.5993,0.6352,14.4,8.63
1444608000000,"2015-10-11",0.63,0.639,0.63,0.5993,21.12,13.34
1444694400000,"2015-10-12",0.6017,0.65,0.6016,0.63,767.84,471.4
1444780800000,"2015-10-13",0.5,0.6017,0.5,0.6017,2761.81,1538.06
1444867200000,"2015-10-14",0.56,0.56,0.4832,0.5,256.3,128.6
1444953600000,"2015-10-15",0.525,0.5622,0.525,0.56,399.96,210.97
1445040000000,"2015-10-16",0.523,0.54,0.52,0.525,1591.58,855.31
1445126400000,"2015-10-17",0.505,0.52,0.505,0.523,1039.88,534.99
1445212800000,"2015-10-18",0.5,0.505,0.4821,0.505,1562.1,780.79
1445299200000,"2015-10-19",0.44,0.4805,0.44,0.5,1480.51,682.42
1445385600000,"2015-10-20",0.42,0.4719,0.42,0.44,1627.75,707.15
1445472000000,"2015-10-21",0.609,0.609,0.411,0.42,3339.9,1759.69
1445558400000,"2015-10-22",0.5649,0.609,0.5,0.609,3807.21,2166.11
1445644800000,"2015-10-23",0.5561,0.5561,0.51,0.5649,296.28,156.31
1445731200000,"2015-10-24",0.62,0.67,0.5875,0.5561,1436,902.43
1445817600000,"2015-10-25",0.706,0.706,0.62,0.62,1777.47,1190.13
1445904000000,"2015-10-26",0.83,0.901,0.7012,0.706,2123.87,1738.7
1445990400000,"2015-10-27",0.99,1.01,0.82,0.83,4983.13,4611.9
1446076800000,"2015-10-28",1.123,1.2,0.9717,0.99,4424.45,4937.61
1446163200000,"2015-10-29",1.139,1.34,1.121,1.123,3523.16,4346.06
1446249600000,"2015-10-30",0.8676,1.139,0.8676,1.139,822.97,804.5
1446336000000,"2015-10-31",0.99,0.99,0.8676,0.8676,186.43,176.28
1446422400000,"2015-11-01",0.9878,1.06,0.9753,0.99,7199.5,7192.3
1446508800000,"2015-11-02",1.06,1.06,0.8425,0.9878,6169.75,6124.85
1446595200000,"2015-11-03",0.799,1.06,0.7987,1.06,5884.47,5189.9
1446681600000,"2015-11-04",0.8764,1.005,0.799,0.799,1214.52,1078.04
1446768000000,"2015-11-05",0.9899,0.9899,0.79,0.8764,3228.49,3121.82
1446854400000,"2015-11-06",0.93,0.93,0.8647,0.9899,1347.58,1195.35
1446940800000,"2015-11-07",1,1,0.8945,0.93,3145.98,3067.91
1447027200000,"2015-11-08",0.998,1.078,0.89,1,8592.57,8903.45
1447113600000,"2015-11-09",0.9,1,0.9,0.998,7729.17,7531.93
1447200000000,"2015-11-10",0.75,0.94,0.73,0.9,11933.21,9539.72
1447286400000,"2015-11-11",0.88,0.9,0.75,0.75,2346.43,2032.79
1447372800000,"2015-11-12",0.9,0.9,0.8395,0.88,1866.15,1625.35
1447459200000,"2015-11-13",0.88,0.91,0.8736,0.9,524.56,469.05
1447545600000,"2015-11-14",0.9193,0.9193,0.8746,0.88,857.27,770.24
1447632000000,"2015-11-15",0.925,0.925,0.6612,0.9193,3010,2699.37
1447718400000,"2015-11-16",1,1,0.9224,0.925,9307.01,9189.91
1447804800000,"2015-11-17",0.9973,1,0.95,1,3368.62,3299.12
1447891200000,"2015-11-18",0.94,1,0.92,0.9973,1252.29,1221.53
1447977600000,"2015-11-19",0.92,0.94,0.91,0.94,165.69,154.39
1448064000000,"2015-11-20",0.96,0.96,0.92,0.92,390.35,378
1448150400000,"2015-11-21",0.97,0.97,0.8827,0.96,241.87,236.45
1448236800000,"2015-11-22",0.92,0.92,0.92,0.97,818.33,775.88
1448323200000,"2015-11-23",0.91,0.95,0.91,0.92,591.67,544.62
1448409600000,"2015-11-24",0.87,0.9126,0.8674,0.91,3152.27,2775.34
1448496000000,"2015-11-25",0.86,0.91,0.8155,0.87,5503.36,4777.98
1448582400000,"2015-11-26",0.88,0.89,0.88,0.86,808.67,719.18
1448668800000,"2015-11-27",0.91,0.91,0.88,0.88,1066.31,968.33
1448755200000,"2015-11-28",0.87,0.91,0.85,0.91,2708.13,2380.31
1448841600000,"2015-11-29",0.88,0.88,0.8674,0.87,451.72,394.73
1448928000000,"2015-11-30",0.87,0.8885,0.8423,0.88,2868.99,2502.08
1449014400000,"2015-12-01",0.82,0.87,0.8,0.87,3975.37,3243.49
1449100800000,"2015-12-02",0.83,0.83,0.7979,0.82,1120.65,905.48
1449187200000,"2015-12-03",0.84,0.84,0.8246,0.83,641.7,527.97
1449273600000,"2015-12-04",0.8699,0.8699,0.8351,0.84,925.93,785.96
1449360000000,"2015-12-05",0.825,0.87,0.825,0.8699,895.02,765.93
1449446400000,"2015-12-06",0.79,0.825,0.7829,0.825,1633.24,1325.08
1449532800000,"2015-12-07",0.8102,0.898,0.7796,0.79,6806.09,5379.11
1449619200000,"2015-12-08",0.8051,0.8533,0.761,0.8102,9646.13,7556.91
1449705600000,"2015-12-09",0.8437,0.8683,0.7797,0.8051,7073.4,5897.28
1449792000000,"2015-12-10",0.8998,0.9,0.77,0.8437,7043.09,5965.49
1449878400000,"2015-12-11",0.96,0.96,0.8998,0.8998,5300.39,5089.12
1449964800000,"2015-12-12",0.9199,0.9749,0.8835,0.96,1038.47,980.32
1450051200000,"2015-12-13",0.99,0.99,0.9628,0.9199,4590.34,4533.37
1450137600000,"2015-12-14",1,1,0.96,0.99,8104.04,8124.77
1450224000000,"2015-12-15",0.803,1.1,0.8,1,6132.75,5846.17
