"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1496534400000,0,0,0,0,0,0,"direct","",1496534400,"2017-06-03"
1496620800000,0,0,0,0,0,0,"direct","",1496620800,"2017-06-04"
1496707200000,0,0,0,0,0,0,"direct","",1496707200,"2017-06-05"
1496793600000,0,0,0,0,0,0,"direct","",1496793600,"2017-06-06"
1496880000000,0,0,0,0,0,0,"direct","",1496880000,"2017-06-07"
1496966400000,0,0,0,0,0,0,"direct","",1496966400,"2017-06-08"
1497052800000,0,0,0,0,0,0,"direct","",1497052800,"2017-06-09"
1497139200000,0,0,0,0,0,0,"direct","",1497139200,"2017-06-10"
1497225600000,0,0,0,0,0,0,"direct","",1497225600,"2017-06-11"
1497312000000,0,0,0,0,0,0,"direct","",1497312000,"2017-06-12"
1497398400000,0,0,0,0,0,0,"direct","",1497398400,"2017-06-13"
1497484800000,0,0,0,0,0,0,"direct","",1497484800,"2017-06-14"
1497571200000,0,0,0,0,0,0,"direct","",1497571200,"2017-06-15"
1497657600000,0,0,0,0,0,0,"direct","",1497657600,"2017-06-16"
1497744000000,0,0,0,0,0,0,"direct","",1497744000,"2017-06-17"
1497830400000,0,0,0,0,0,0,"direct","",1497830400,"2017-06-18"
1497916800000,0,0,0,0,0,0,"direct","",1497916800,"2017-06-19"
1498003200000,0,0,0,0,0,0,"direct","",1498003200,"2017-06-20"
1498089600000,0,0,0,0,0,0,"direct","",1498089600,"2017-06-21"
1498176000000,0,0,0,0,0,0,"direct","",1498176000,"2017-06-22"
1498262400000,0,0,0,0,0,0,"direct","",1498262400,"2017-06-23"
1498348800000,0,0,0,0,0,0,"direct","",1498348800,"2017-06-24"
1498435200000,0,0,0,0,0,0,"direct","",1498435200,"2017-06-25"
1498521600000,0,0,0,0,0,0,"direct","",1498521600,"2017-06-26"
1498608000000,0,0,0,0,0,0,"direct","",1498608000,"2017-06-27"
1498694400000,0.06,0.08,0.00001,0.00001,24929.01,1993.91,"direct","",1498694400,"2017-06-28"
1498780800000,0.05,0.06,0.05,0.06,56386.93,2819.35,"direct","",1498780800,"2017-06-29"
1498867200000,0.0424,0.05,0.0395,0.05,10462.67,447.68,"direct","",1498867200,"2017-06-30"
1498953600000,0.0424,0.0424,0.0424,0.0424,0,0,"direct","",1498953600,"2017-07-01"
1499040000000,0.068,0.068,0.04,0.0424,36898.56,1918.24,"direct","",1499040000,"2017-07-02"
1499126400000,0.057,0.068,0.057,0.068,5000,285,"direct","",1499126400,"2017-07-03"
1499212800000,0.069,0.07,0.057,0.057,3800.26,259.04,"direct","",1499212800,"2017-07-04"
1499299200000,0.0401,0.069,0.0401,0.069,0.01,0.000401,"direct","",1499299200,"2017-07-05"
1499385600000,0.0699,0.0699,0.0401,0.0401,10.69,0.7474,"direct","",1499385600,"2017-07-06"
1499472000000,0.0699,0.0699,0.0699,0.0699,0,0,"direct","",1499472000,"2017-07-07"
